timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773878101958,44,HTTP Request,200,OK,Stress Test 1-433,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878101978,43,HTTP Request,200,OK,Stress Test 1-434,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878101998,44,HTTP Request,200,OK,Stress Test 1-435,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102019,44,HTTP Request,200,OK,Stress Test 1-436,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102039,44,HTTP Request,200,OK,Stress Test 1-437,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102058,44,HTTP Request,200,OK,Stress Test 1-438,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102079,45,HTTP Request,200,OK,Stress Test 1-439,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102099,45,HTTP Request,200,OK,Stress Test 1-440,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102118,44,HTTP Request,200,OK,Stress Test 1-441,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102139,44,HTTP Request,200,OK,Stress Test 1-442,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102160,45,HTTP Request,200,OK,Stress Test 1-443,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102179,44,HTTP Request,200,OK,Stress Test 1-444,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102199,44,HTTP Request,200,OK,Stress Test 1-445,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878102219,45,HTTP Request,200,OK,Stress Test 1-446,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878102238,44,HTTP Request,200,OK,Stress Test 1-447,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,21
1773878102258,43,HTTP Request,200,OK,Stress Test 1-448,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
